YY,MO,DD,HH,MM,SS,AOD_440,AOD_500,AOD_870
2013,04,23,7,00,47,0.082760,0.070909,0.048177
2013,04,23,7,04,14,0.080868,0.069780,0.047063
2013,04,23,7,08,03,0.080264,0.070293,0.047570
2013,04,23,7,12,39,0.080388,0.070607,0.047893
2013,04,23,7,18,12,0.082467,0.070872,0.048300
2013,04,23,7,25,02,0.091389,0.078122,0.052054
2013,04,23,7,39,50,0.086296,0.076230,0.051975
2013,04,23,7,49,37,0.085716,0.074865,0.051131
2013,04,23,7,51,44,0.085971,0.074983,0.050990
2013,04,23,7,53,47,0.086997,0.075862,0.051593
2013,04,23,7,55,53,0.087045,0.075376,0.052148
2013,04,23,7,59,28,0.081634,0.071620,0.049065
2013,04,23,8,07,39,0.079217,0.069915,0.047797
2013,04,23,8,14,23,0.077771,0.068595,0.046231
2013,04,23,8,16,30,0.078301,0.068914,0.046640
2013,04,23,8,26,13,0.075763,0.066585,0.045768
2013,04,23,8,38,46,0.079548,0.069629,0.047453
2013,04,23,8,54,17,0.085658,0.074819,0.049994
2013,04,23,9,26,34,0.075629,0.065631,0.044961
2013,04,23,9,43,23,0.074820,0.064906,0.044202
2013,04,23,9,58,24,0.072157,0.063796,0.043255
2013,04,23,10,06,40,0.076329,0.066558,0.045301
2013,04,23,10,28,23,0.080148,0.070252,0.047839
2013,04,23,10,43,24,0.068363,0.061492,0.041708
2013,04,23,10,58,25,0.067232,0.060587,0.040846
2013,04,23,11,13,24,0.066653,0.059651,0.041121
2013,04,23,11,28,24,0.069229,0.060572,0.042743
2013,04,23,11,43,24,0.071852,0.064034,0.044757
2013,04,23,11,58,27,0.068555,0.062586,0.043848
2013,04,23,12,13,24,0.064961,0.059169,0.042524
2013,04,23,12,28,25,0.067440,0.061268,0.043354
2013,04,23,12,43,25,0.070416,0.063835,0.046685
2013,04,23,12,58,25,0.068492,0.061593,0.044376
2013,04,23,13,13,24,0.071054,0.065656,0.046733
2013,04,23,13,28,24,0.071401,0.065520,0.047019
2013,04,23,13,43,24,0.075025,0.069887,0.049579
2013,04,23,13,58,26,0.077223,0.071773,0.052528
2013,04,23,14,13,25,0.081614,0.075438,0.054675
2013,04,23,14,28,24,0.084233,0.078518,0.056544
2013,04,23,14,43,25,0.084153,0.076777,0.055883
2013,04,23,14,58,25,0.079488,0.073541,0.052234
2013,04,23,15,13,24,0.079760,0.074256,0.051446
2013,04,23,15,28,24,0.086825,0.080323,0.056517
2013,04,23,15,43,23,0.092654,0.085329,0.058664
2013,04,23,15,58,24,0.113577,0.102645,0.066860
2013,04,23,16,13,25,0.108453,0.097587,0.062705
2013,04,23,16,28,24,0.106042,0.094092,0.057390
2013,04,23,16,30,32,0.103575,0.091453,0.056655
2013,04,23,17,02,33,0.087076,0.078841,0.049133
2013,04,23,17,18,05,0.084609,0.075322,0.046663
2013,04,23,17,30,37,0.082323,0.072861,0.044638
2013,04,23,17,41,02,0.078440,0.069182,0.042086
2013,04,23,17,49,49,0.077733,0.068631,0.042144
2013,04,23,17,57,21,0.077402,0.068319,0.041455
2013,04,23,18,07,50,0.077635,0.067960,0.041430
2013,04,23,18,09,52,0.077165,0.067424,0.041101
2013,04,23,18,14,44,0.077657,0.067616,0.040760
2013,04,23,18,19,13,0.077742,0.067806,0.040687
2013,04,23,18,23,17,0.077688,0.067593,0.040101
2013,04,23,18,32,26,0.079037,0.068636,0.041730
2013,04,23,18,38,37,0.077977,0.067915,0.041182
2013,04,23,18,44,07,0.078034,0.067746,0.040760
2013,04,23,18,48,44,0.077657,0.067243,0.040111
2013,04,23,18,52,39,0.077802,0.067617,0.040277
2013,04,23,18,56,02,0.078871,0.068334,0.041071
