YY,MO,DD,HH,MM,SS,AOD_440,AOD_500,AOD_870
2013,08,23,7,31,18,1.404446,1.127380,0.349658
2013,08,23,7,39,50,1.383845,1.112421,0.331770
2013,08,23,7,49,58,1.393517,1.121049,0.335493
2013,08,23,7,51,59,1.410714,1.137684,0.338708
2013,08,23,7,54,13,1.410847,1.137229,0.339014
2013,08,23,7,59,10,1.425110,1.147048,0.342848
2013,08,23,8,05,42,1.509369,1.217012,0.364699
2013,08,23,8,14,30,1.544344,1.246860,0.370788
2013,08,23,8,21,21,1.558945,1.258150,0.375793
2013,08,23,8,23,27,1.583031,1.279121,0.380131
2013,08,23,8,32,30,1.705213,1.381006,0.414149
2013,08,23,8,45,05,1.785809,1.448982,0.433947
2013,08,23,9,00,37,2.039631,1.655733,0.492116
2013,08,23,9,33,00,2.034229,1.637999,0.478797
2013,08,23,9,48,06,2.137263,1.715481,0.502934
2013,08,23,10,03,08,2.054549,1.650692,0.483023
2013,08,23,10,11,32,2.162130,1.742814,0.514283
2013,08,23,10,33,06,2.289714,1.845825,0.546732
2013,08,23,10,48,07,2.611498,2.114842,0.629773
2013,08,23,11,03,09,3.027394,2.465797,0.735522
2013,08,23,11,18,07,3.052065,2.475302,0.742530
2013,08,23,11,33,07,2.763641,2.238691,0.667330
2013,08,23,11,48,08,2.647331,2.144645,0.639880
2013,08,23,12,03,09,2.711363,2.202211,0.657645
2013,08,23,12,18,08,2.650848,2.152171,0.642886
2013,08,23,12,33,07,2.550484,2.069943,0.618109
2013,08,23,12,48,07,2.382030,1.929627,0.574562
2013,08,23,13,03,11,2.054604,1.667102,0.497075
2013,08,23,13,18,07,2.046594,1.659343,0.494735
2013,08,23,13,33,07,2.025283,1.642123,0.492100
2013,08,23,13,48,06,1.843031,1.495336,0.449011
2013,08,23,14,03,08,2.055117,1.667802,0.502802
2013,08,23,14,18,07,1.986739,1.613644,0.486703
2013,08,23,14,33,07,1.845696,1.501440,0.455399
2013,08,23,14,48,06,1.790310,1.453563,0.446952
2013,08,23,15,03,07,1.706666,1.388539,0.428069
2013,08,23,15,18,08,1.823849,1.484884,0.460200
2013,08,23,15,33,08,1.775355,1.454439,0.459958
2013,08,23,15,48,06,1.859283,1.526680,0.482928
2013,08,23,16,03,19,1.823414,1.498856,0.474345
2013,08,23,16,11,39,1.871811,1.539176,0.489636
2013,08,23,16,18,17,1.881652,1.545916,0.492418
2013,08,23,16,33,07,1.704528,1.398854,0.444473
2013,08,23,16,35,18,1.710649,1.404679,0.445871
2013,08,23,17,05,38,1.447469,1.176523,0.368088
2013,08,23,17,21,14,1.730888,1.391929,0.425537
2013,08,23,17,33,46,1.947726,1.565595,0.475523
2013,08,23,17,44,14,2.098558,1.675877,0.505570
2013,08,23,17,53,05,2.254261,1.796253,0.539469
